layer_id,layer,label,group,label_long,binary
0,401,household-member,household,household-member: household-member,1
1,402,household-institutional-member,household,household-institutional-member: household-institutional-member,2
2,501,schoolmate-primary,school,schoolmate-primary: schoolmate-primary,4
3,502,schoolmate-special,school,schoolmate-special: schoolmate-special,8
4,503,schoolmate-vo,school,schoolmate-vo: schoolmate-vo,16
5,504,schoolmate-mbo,school,schoolmate-mbo: schoolmate-mbo,32
6,505,schoolmate-hbo,school,schoolmate-hbo: schoolmate-hbo,64
7,506,schoolmate-wo,school,schoolmate-wo: schoolmate-wo,128
8,101,neighbor-next-door,neighbor,neighbor-next-door: neighbor-next-door,256
9,102,neighbor-neighborhood,neighbor,neighbor-neighborhood: neighbor-neighborhood,512
10,201,colleague,work,work: colleague,1024
11,301,parent,close,parent: parent,2048
12,302,co-parent,close,co-parent: co-parent,4096
13,303,grandparent,close,grandparent: grandparent,8192
14,304,child,close,child: child,16384
15,305,grandchild,close,grandchild: grandchild,32768
16,306,sibling-full,close,sibling-full: sibling-full,65536
17,307,sibling-half,close,sibling-half: sibling-half,131072
18,308,sibling-unknown,close,sibling-unknown: sibling-unknown,262144
19,309,cousin,extended,cousin: cousin,524288
20,310,niece/nephew,extended,niece/nephew: niece/nephew,1048576
21,311,aunt/uncle,extended,aunt/uncle: aunt/uncle,2097152
22,312,partner-married,close,partner-married: partner-married,4194304
23,313,partner-not-married,close,partner-not-married: partner-not-married,8388608
24,314,parent-in-law,extended,parent-in-law: parent-in-law,16777216
25,315,child-in-law,extended,child-in-law: child-in-law,33554432
26,316,sibling-in-law,extended,sibling-in-law: sibling-in-law,67108864
27,317,stepparent,extended,stepparent: stepparent,134217728
28,318,stepchild,extended,stepchild: stepchild,268435456
29,319,stepsibling,extended,stepsibling: stepsibling,536870912
30,320,cousin-by-partnership,extended,cousin-by-partnership: cousin-by-partnership,1073741824
31,321,niece/nephew-by-partnership,extended,niece/nephew-by-partnership: niece/nephew-by-partnership,2147483648
32,322,aunt/uncle-by-partnership,extended,aunt/uncle-by-partnership: aunt/uncle-by-partnership,4294967296

